"m5v1_glr.pred.obs","m5v1_glr.pred.RB"
"RB",0.90493590022255
"RB",0.674622355568105
"RB",0.823959798814103
"RB",0.963072018911986
"RB",0.774901341532425
"RB",0.204229923190491
"RB",0.945104130235149
"RB",0.808650925666297
"RB",0.635115433013221
"RB",0.507677817123774
"RB",0.293660897593888
"RB",0.843670155286837
"RB",0.871340707994568
"RB",0.00782455827477244
"RB",0.797323099352404
"RB",0.82074854704334
"RB",0.859831073063692
"RB",0.555053262049873
"RB",0.814915774338605
"RB",0.140155457013678
"RB",0.533509529318913
"RB",0.920448948419968
"RB",0.935160177204556
"RB",0.966175235482572
"NRB",0.00954813342815736
"NRB",0.00509684883115216
"NRB",0.00600276761660963
"NRB",0.0376218920464275
"NRB",0.0401623705389356
"NRB",0.119437604476978
"NRB",0.543756006460932
"NRB",0.363404069720608
"NRB",0.1350534774748
"NRB",0.00848616761421014
"NRB",0.728938578371645
"NRB",0.00644671832374439
"NRB",0.000977564809766133
"NRB",0.013239479215022
"NRB",0.0368602417427559
"NRB",0.014593735444382
"NRB",0.000986691045939554
"NRB",0.00752527920181127
"NRB",0.0641588412689083
"NRB",0.000126729078708529
"NRB",0.131603649659837
"NRB",0.187875981984772
"NRB",0.00035799711968292
"NRB",0.0445417510740811
"NRB",0.252269472657814
"NRB",0.00455255140587758
"NRB",0.019611417064362
"NRB",0.0138588963670432
"NRB",0.0822827035381073
"NRB",0.00241796237093253
"NRB",0.493476834123763
"NRB",0.000191626631005114
"NRB",0.0488092310666358
"NRB",0.0540408039421883
"NRB",0.0620325718091293
"NRB",0.395159094278126
"NRB",0.861041010213889
"NRB",0.352433994621095
"NRB",0.48785264502758
"NRB",0.0494219558487982
"NRB",0.280405985053747
"NRB",0.0200180630123324
"NRB",0.0877564664444213
"NRB",0.242098049476849
"RB",0.968974854453
"RB",0.516207715494989
"RB",0.960429608470189
"RB",0.0564390407820617
"RB",0.868505807741651
"NRB",0.089546056118408
"NRB",0.0128069749778487
"NRB",0.00679582493149298
"NRB",0.0112251827174419
"NRB",0.0160765834786224
"NRB",0.00934327475862344
"NRB",0.156727079192224
"NRB",0.0088189339096811
"NRB",0.228044307477151
"NRB",0.00530507993400644
"NRB",0.00035225563881372
"NRB",0.114337482034123
"RB",0.343743221233748
"RB",0.742988333630432
"RB",0.949561770076741
"RB",0.374612226941471
"RB",0.966084830271962
"RB",0.492608022287375
"RB",0.653460230227608
"RB",0.788969809479808
"RB",0.864749191821417
"RB",0.734139167246565
"RB",0.954305668525037
"RB",0.054507916791192
"RB",0.846016743616147
"RB",0.901380932281613
"RB",0.678444650844454
"RB",0.822806850770996
"RB",0.037974744440854
"RB",0.540126086479465
"RB",0.488005961037688
"RB",0.876914226742511
"NRB",0.0122066470714051
"NRB",0.00613302516161936
"NRB",0.100247506735527
"NRB",0.638929087314562
"NRB",0.178194597746553
"NRB",0.49573723275201
"NRB",0.0294736698717521
"NRB",0.00795496825768104
"NRB",0.0126717973815511
"NRB",0.0420607745223061
"NRB",0.0064977392367545
"NRB",0.567501150509916
"NRB",0.0456873087948291
"NRB",0.118089431453872
"NRB",0.00332374940160289
"NRB",0.156469214228376
"NRB",0.384473619998952
"NRB",0.0237753525456304
"NRB",0.0110259322984421
"NRB",0.0340475595778611
"NRB",0.101898996920886
"NRB",0.779778066782239
"NRB",0.0463354972174948
"NRB",0.00396357862036288
"NRB",0.073304432095618
"NRB",0.017323175298379
"NRB",0.027733850428067
"NRB",0.0017291925026106
"NRB",0.492677132550579
"NRB",0.0357741829636187
"NRB",0.480631839859768
"NRB",0.0283244044743894
"NRB",0.0671262297526238
"NRB",0.00270197882050836
"NRB",0.0126406486753996
"NRB",0.203180765596511
"NRB",0.0407699375657778
"NRB",0.0748199910264054
"NRB",0.135702685881068
"RB",0.503285435511007
"RB",0.942806274505844
"RB",0.375880703587571
"RB",0.903733908037617
"RB",0.985415933015189
"RB",0.969059184528182
"RB",0.723111644001035
"RB",0.3891180753055
"NRB",0.00017167591855904
"NRB",0.00843127896056433
"NRB",0.0990579520315842
"NRB",0.127558490249073
"NRB",0.124984145174585
"NRB",0.085239792287421
"NRB",0.474703580499074
"NRB",0.117325511258229
"NRB",0.130169765917163
"NRB",0.072359026754559
"NRB",0.0430403604472451
"NRB",0.0599021713101799
"NRB",0.709694964193035
"NRB",0.0348316839891492
"NRB",0.0482503065704587
"NRB",0.00146044694306877
"NRB",0.0023690710689737
"RB",0.928733904257814
"RB",0.463906552665844
"RB",0.7302674499476
"RB",0.742796324254787
"RB",0.997110274213856
"RB",0.989270897928586
"RB",0.0938741965173933
"RB",0.303855183304436
"RB",0.921344384198677
"RB",0.851966109355717
"RB",0.738956392582273
"RB",0.0510594981244609
"RB",0.858590165006256
"RB",0.950747299290001
"RB",0.966228558482281
"RB",0.54021581952646
"RB",0.619648055916509
"RB",0.94718865773087
"RB",0.0327116482902429
"RB",0.9151492133266
"NRB",0.971187633882452
"NRB",0.485972167529663
"NRB",0.324310817457586
"NRB",0.465114558994728
