"m6v1_plr.pred.obs","m6v1_plr.pred.RB"
"RB",0.626262607125498
"RB",0.656953992483702
"RB",0.781396134986971
"RB",0.781619208308099
"RB",0.555793119812624
"RB",0.315066929804876
"RB",0.731393890145557
"RB",0.503098774637002
"RB",0.610238651808826
"RB",0.255235114044118
"RB",0.485889334194874
"RB",0.739828258583133
"RB",0.759291807259614
"RB",0.0729523268239617
"RB",0.590741316291195
"RB",0.642551735241938
"RB",0.697871623494329
"RB",0.489332643832804
"RB",0.661602246221077
"RB",0.276427835171273
"RB",0.613279567139203
"RB",0.710334850046426
"RB",0.586520696618356
"RB",0.822158715545368
"NRB",0.0777301557489598
"NRB",0.110145835707684
"NRB",0.0808749492574952
"NRB",0.123763186993185
"NRB",0.113049431159407
"NRB",0.25764041866422
"NRB",0.446161453203613
"NRB",0.366711338636539
"NRB",0.157488366827667
"NRB",0.0852004263261664
"NRB",0.397908608280441
"NRB",0.123000292378317
"NRB",0.0318004509820213
"NRB",0.110449075740973
"NRB",0.0975142557655068
"NRB",0.0836327226454408
"NRB",0.0467766185055032
"NRB",0.126583877340653
"NRB",0.29776446878883
"NRB",0.0340293035971825
"NRB",0.214027027611672
"NRB",0.430455972068822
"NRB",0.0429774763201917
"NRB",0.219952323561666
"NRB",0.339607452824563
"NRB",0.0988227731265967
"NRB",0.105571828660508
"NRB",0.0934410278797715
"NRB",0.116800873165936
"NRB",0.0420082242550281
"NRB",0.338739877123792
"NRB",0.0336885784699794
"NRB",0.114891478436941
"NRB",0.138559161743636
"NRB",0.17741743588218
"NRB",0.306053012920355
"NRB",0.655791644027643
"NRB",0.33831650053292
"NRB",0.557979698289719
"NRB",0.179438218054209
"NRB",0.339039875006181
"NRB",0.0909699971343026
"NRB",0.111157531496494
"NRB",0.293116606275428
"RB",0.753310163905461
"RB",0.344802151747738
"RB",0.731060138552549
"RB",0.222630456888568
"RB",0.623404003948713
"NRB",0.216782903778469
"NRB",0.134988684419527
"NRB",0.10451316312594
"NRB",0.110835759258615
"NRB",0.0694892442508177
"NRB",0.121240565342439
"NRB",0.307727046887854
"NRB",0.106856694108536
"NRB",0.43447040488728
"NRB",0.101475480666508
"NRB",0.0425216734338054
"NRB",0.293918705195965
"RB",0.68268388843342
"RB",0.737737867387866
"RB",0.867003331285757
"RB",0.911506291081561
"RB",0.709365574922062
"RB",0.246888575384453
"RB",0.900722413744794
"RB",0.66029909819805
"RB",0.667004524829823
"RB",0.358620719405166
"RB",0.423766799330513
"RB",0.823500489433217
"RB",0.844898051074646
"RB",0.0187108845475099
"RB",0.775013403801354
"RB",0.792503382726775
"RB",0.810246180550781
"RB",0.542035598490528
"RB",0.812809380330405
"RB",0.199892046164998
"RB",0.646170582035016
"RB",0.83675211419761
"RB",0.821760483346292
"RB",0.93437759454287
"NRB",0.0204146058395044
"NRB",0.0209274686124859
"NRB",0.0276792500654076
"NRB",0.0562008512419699
"NRB",0.0494483204404908
"NRB",0.120673313882435
"NRB",0.484347107031178
"NRB",0.298653762394337
"NRB",0.151485900652331
"NRB",0.0177057712664814
"NRB",0.61728519510796
"NRB",0.0212525598840212
"NRB",0.00385999723029071
"NRB",0.0369928169237128
"NRB",0.0554819927808361
"NRB",0.0337264290796838
"NRB",0.00707165881956643
"NRB",0.0301630328987269
"NRB",0.157584540700628
"NRB",0.00257599493380203
"NRB",0.104715089622748
"NRB",0.309455145074052
"NRB",0.00480352668184536
"NRB",0.0663622257379447
"NRB",0.367959791360568
"NRB",0.0244408220780388
"NRB",0.0338726199890927
"NRB",0.023023319230243
"NRB",0.0777018339537953
"NRB",0.00682159109616189
"NRB",0.436041465695978
"NRB",0.00254619122015648
"NRB",0.0449919489661103
"NRB",0.0990607241553264
"NRB",0.151142794708587
"NRB",0.341135473543854
"NRB",0.801361006823991
"NRB",0.278371719723361
"NRB",0.540006031937462
"NRB",0.0796111340944469
"NRB",0.251850309049075
"NRB",0.0293358807968041
"NRB",0.0754408335568517
"NRB",0.210091294944608
"RB",0.935646766274416
"RB",0.497700036910622
"RB",0.912496941784746
"RB",0.123629570961692
"RB",0.789816311432444
"NRB",0.146031827316144
"NRB",0.0318102987449158
"NRB",0.0224081331608484
"NRB",0.0346735629508529
"NRB",0.026076565952468
"NRB",0.0335543523327709
"NRB",0.191546981234371
"NRB",0.019137560605405
"NRB",0.30024785510983
"NRB",0.0108455360353745
"NRB",0.00588235742739905
"NRB",0.185231899625213
"RB",0.680404316652244
"RB",0.735342093706111
"RB",0.865502211343347
"RB",0.906955175575529
"RB",0.701904315829452
"RB",0.251081452767005
"RB",0.896381957366917
"RB",0.652711812462032
"RB",0.666216687133545
"RB",0.349367876304299
"RB",0.434270207737133
"RB",0.821121892441748
"RB",0.842122913768067
"RB",0.0202846268854455
"RB",0.769292877012359
"RB",0.785980061193174
"RB",0.806548405740406
"RB",0.539950359764181
"RB",0.80581472380295
"RB",0.20353555202201
"RB",0.64981931726959
"RB",0.831375941693817
"RB",0.809042043809731
"RB",0.931258899337856
"NRB",0.0221213316725641
"NRB",0.0234487660099132
"NRB",0.0296809993841447
"NRB",0.0584639328233027
"NRB",0.0507861820062953
"NRB",0.127251742779139
"NRB",0.478519995528046
"NRB",0.301740920650201
"NRB",0.149309075897538
"NRB",0.019519776434495
"NRB",0.602235281447162
"NRB",0.0240732124383572
"NRB",0.0043874874775646
"NRB",0.0399623335284668
"NRB",0.0563937998703586
"NRB",0.0360305229071725
"NRB",0.00794331202714165
"NRB",0.032999019908061
"NRB",0.166243591065321
"NRB",0.00309168135015968
"NRB",0.108906556067637
"NRB",0.319951712429646
"NRB",0.00559783184111038
"NRB",0.0726274155240637
"NRB",0.364365374519087
"NRB",0.0268428554260323
"NRB",0.0364767231965977
"NRB",0.0247755182067818
"NRB",0.0782126647248967
"NRB",0.00749211764124855
"NRB",0.428424430772771
"NRB",0.00303121135197072
"NRB",0.0468293528607193
"NRB",0.100550510506934
"NRB",0.152278528191761
"NRB",0.337211890499178
"NRB",0.795839676935101
"NRB",0.282075695595649
"NRB",0.545387582017422
"NRB",0.0834567123356416
"NRB",0.258468244283609
"NRB",0.0311577038747156
"NRB",0.0759471885086672
"NRB",0.215178286773624
"RB",0.930723162180361
"RB",0.48855110808291
"RB",0.907715650803761
"RB",0.126817465312936
"RB",0.783209236470968
"NRB",0.149881158631723
"NRB",0.035372545949159
"NRB",0.0248649517759329
"NRB",0.0376393590661614
"NRB",0.0272159588303256
"NRB",0.0365026916953205
"NRB",0.199119295504366
"NRB",0.021358916137896
"NRB",0.309331250030256
"NRB",0.0125840123586024
"NRB",0.00672076111166571
"NRB",0.19230335189292
"RB",0.674777686422281
"RB",0.727668643725277
"RB",0.859516896681526
"RB",0.893973358580393
"RB",0.681192917917258
"RB",0.261880749947755
"RB",0.882913004296978
"RB",0.633486410798969
"RB",0.662604664072636
"RB",0.326808762834402
"RB",0.455123986569893
"RB",0.813787570857309
"RB",0.834112477359019
"RB",0.0249398263466011
"RB",0.752611593951606
"RB",0.76732010601537
"RB",0.796341121207491
"RB",0.533426918256494
"RB",0.786744729640288
"RB",0.213007779149066
"RB",0.654557019523884
"RB",0.81725826062062
"RB",0.774276119325205
"RB",0.921797963905567
"NRB",0.0271131618720332
"NRB",0.0312572053139943
"NRB",0.0352756796690442
"NRB",0.0649148072877086
"NRB",0.0552205070494267
"NRB",0.145124391227597
"NRB",0.468039082738314
"NRB",0.311669908640584
"NRB",0.144804920828442
"NRB",0.0250540698018351
"NRB",0.561901860051547
"NRB",0.0328818277049817
"NRB",0.00607995465300828
"NRB",0.0483646844705769
"NRB",0.0595117227551546
"NRB",0.0418699714235469
"NRB",0.0107385422170356
"NRB",0.0415761375821463
"NRB",0.188143116720945
"NRB",0.00484942030043289
"NRB",0.121077977654827
"NRB",0.345821586296215
"NRB",0.00814965594941707
"NRB",0.0905891326574235
"NRB",0.355365033837484
"NRB",0.0337480325594778
"NRB",0.0440041404135902
"NRB",0.0301736908033586
"NRB",0.080395548902501
"NRB",0.00965714493714402
"NRB",0.40845162218341
"NRB",0.00467510633641741
"NRB",0.0524378885340907
"NRB",0.104779150352861
"NRB",0.15548893675902
"NRB",0.327613899612646
"NRB",0.779228220665059
"NRB",0.291881297654167
"NRB",0.556632461462138
"NRB",0.0937429514728141
"NRB",0.274960815907717
"NRB",0.0365216930856932
"NRB",0.0781877806770205
"NRB",0.227143510256802
"RB",0.915500608969165
"RB",0.462749740244212
"RB",0.891845392450455
"RB",0.13699618345997
"RB",0.764624983184491
"NRB",0.159280711785903
"NRB",0.0460447027613551
"NRB",0.0325641504872511
"NRB",0.0460977421835601
"NRB",0.0307357997767106
"NRB",0.04552141688184
"NRB",0.218981648177606
"NRB",0.0283213751478093
"NRB",0.332484790903136
"NRB",0.0184704082860883
"NRB",0.00930460398804595
"NRB",0.211375478907306
"RB",0.670597303485459
"RB",0.720716248684665
"RB",0.853340523012577
"RB",0.882908216870853
"RB",0.664697946217902
"RB",0.270016507025397
"RB",0.870380774181496
"RB",0.618708276341609
"RB",0.658663814512055
"RB",0.311545299342266
"RB",0.466152139857345
"RB",0.807185006152201
"RB",0.827252516524562
"RB",0.0290878484012421
"RB",0.737661422552746
"RB",0.75198716479914
"RB",0.787690341678368
"RB",0.527847625415442
"RB",0.771564588649744
"RB",0.220353355043691
"RB",0.654629333533083
"RB",0.806095346458887
"RB",0.746898161301166
"RB",0.913234135967512
"NRB",0.0315192083933729
"NRB",0.0384371046371913
"NRB",0.0399316490666559
"NRB",0.0704675162900649
"NRB",0.0595672649291832
"NRB",0.159290499694351
"NRB",0.46310145027178
"NRB",0.320219328519842
"NRB",0.142654141342579
"NRB",0.0301327021922587
"NRB",0.531741972307356
"NRB",0.0410904334422339
"NRB",0.00773420430142528
"NRB",0.0553398056384836
"NRB",0.062553702220339
"NRB",0.0463070607697938
"NRB",0.0134346658806186
"NRB",0.0493003204077641
"NRB",0.204155918703244
"NRB",0.00666659101933165
"NRB",0.131456179213663
"NRB",0.363614795233966
"NRB",0.0106329259903615
"NRB",0.105632810007385
"NRB",0.349444489286877
"NRB",0.0397378724296607
"NRB",0.0504509124905867
"NRB",0.035198209636827
"NRB",0.0828087664834239
"NRB",0.0117755332261219
"NRB",0.393942484670906
"NRB",0.00637891625993989
"NRB",0.0575993773347314
"NRB",0.108314333756302
"NRB",0.15804690976647
"NRB",0.321160142678057
