"m5v3_glr.pred.obs","m5v3_glr.pred.RB"
"RB",0.6476251337501
"RB",0.786894296960788
"RB",0.808361533024015
"RB",0.974209331304255
"RB",0.725881063582305
"RB",0.205481533923376
"RB",0.97176234945966
"RB",0.730758176330566
"RB",0.572779538914514
"RB",0.404038595148985
"RB",0.288485180442883
"RB",0.851748956650873
"RB",0.907528348126209
"RB",0.01118347419986
"RB",0.873578194452547
"RB",0.730461108046388
"RB",0.807235779251954
"RB",0.389946534275614
"RB",0.850593896664597
"RB",0.0986204552233843
"RB",0.633775856610893
"RB",0.933051199378933
"RB",0.84255891215034
"RB",0.972840625626869
"NRB",0.0123109470608412
"NRB",0.0257046968216495
"NRB",0.0107062381175374
"NRB",0.0432961370701597
"NRB",0.0168642539493494
"NRB",0.094917490795727
"NRB",0.801546139130116
"NRB",0.313606237510901
"NRB",0.111005028944991
"NRB",0.0101309386352018
"NRB",0.653536992213344
"NRB",0.00596299185453936
"NRB",0.00404815433920555
"NRB",0.00767566788009811
"NRB",0.154360594392697
"NRB",0.0378526097987632
"NRB",0.00717418915174253
"NRB",0.0156705363992345
"NRB",0.0429941099726488
"NRB",0.00138082441128168
"NRB",0.153914953259577
"NRB",0.502105103299284
"NRB",0.00115079735867365
"NRB",0.0358874785321106
"NRB",0.343747751226895
"NRB",0.00714583183409406
"NRB",0.0191369877223618
"NRB",0.00983503139227013
"NRB",0.030710593604283
"NRB",0.0069238567894031
"NRB",0.284515201638934
"NRB",0.000484569606289372
"NRB",0.0202068027678466
"NRB",0.106637357473297
"NRB",0.229446932893521
"NRB",0.248675308432155
"NRB",0.799401625801645
"NRB",0.186299173809801
"NRB",0.430479074665711
"NRB",0.0521545570922711
"NRB",0.320493566924156
"NRB",0.0111337436247468
"NRB",0.0365088763330251
"NRB",0.0620659707239039
"RB",0.936353596040658
"RB",0.768252094899368
"RB",0.813426971424417
"RB",0.0458453318006121
"RB",0.782193826659332
"NRB",0.0277321591075356
"NRB",0.0115016651458575
"NRB",0.0154191845300281
"NRB",0.0091657083824555
"NRB",0.0494712780459957
"NRB",0.0249227536976736
"NRB",0.319008250267428
"NRB",0.0049613585859766
"NRB",0.142680261110343
"NRB",0.00252690560051966
"NRB",0.000948052060572672
"NRB",0.13989406697402
"RB",0.342874280482787
"RB",0.737679074267654
"RB",0.963465920456752
"RB",0.193785399625663
"RB",0.940682677404358
"RB",0.566055768396126
"RB",0.681883691929515
"RB",0.777148207940714
"RB",0.926293689915679
"RB",0.766943732522565
"RB",0.885662848302479
"RB",0.162943063370999
"RB",0.848398744801372
"RB",0.861242161243568
"RB",0.874065579116584
"RB",0.88693142832047
"RB",0.108439839811763
"RB",0.401397128880639
"RB",0.631812796386904
"RB",0.831527232348854
"NRB",0.00630517840325509
"NRB",0.0173857081480553
"NRB",0.0697722656757396
"NRB",0.775744308540962
"NRB",0.0276765168301586
"NRB",0.368506932031784
"NRB",0.00638474545889298
"NRB",0.00376865121621434
"NRB",0.0145796399249301
"NRB",0.0323007722331513
"NRB",0.0102114932285315
"NRB",0.259834916010435
"NRB",0.0420089356048836
"NRB",0.0273890665452534
"NRB",0.0108922058720748
"NRB",0.117472684747802
"NRB",0.262620694821856
"NRB",0.00839445251017829
"NRB",0.00248252597299618
"NRB",0.0203977945933295
"NRB",0.0711517945228863
"NRB",0.665460543047396
"NRB",0.293733023186026
"NRB",0.00827266192413244
"NRB",0.164230735680962
"NRB",0.0059782190419813
"NRB",0.0116685471885181
"NRB",0.0112799985698558
"NRB",0.595834594586426
"NRB",0.109493777711892
"NRB",0.291706907261381
"NRB",0.0225080447794507
"NRB",0.063125912675314
"NRB",0.00215776739389077
"NRB",0.00947281327093984
"NRB",0.142254991729105
"NRB",0.0170253759129059
"NRB",0.255831506163393
"NRB",0.065511863876413
"RB",0.391591112868375
"RB",0.925000579714898
"RB",0.263915020903773
"RB",0.893188480027778
"RB",0.942681420553558
"RB",0.954046045326726
"RB",0.808650824537305
"RB",0.577706261018052
"NRB",0.000985980688448299
"NRB",0.00514647489501191
"NRB",0.118450920271053
